,price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
1,12250000,8960.0,1.0,4.0,4.0,yes,no,no,no,yes,0.0,no,furnished
13,9240000,3500.0,4.0,1.0,1.0,yes,no,no,yes,no,2.0,no,furnished
29,8400000,5250.0,4.0,1.0,2.0,yes,no,yes,no,yes,1.0,yes,semi-furnished
31,8400000,7000.0,3.0,1.0,4.0,yes,no,no,no,yes,2.0,,semi-furnished
44,7560000,6000.0,4.0,1.0,4.0,yes,no,no,no,yes,1.0,,furnished
56,7343000,8587.5,1.0,1.0,2.0,yes,no,yes,no,no,0.0,yes,semi-furnished
64,7000000,11175.0,1.0,1.0,1.0,yes,no,yes,no,yes,0.0,,furnished
69,6790000,8887.5,1.0,2.0,2.0,yes,no,,no,no,2.0,,furnished
73,6685000,6600.0,2.0,2.0,4.0,yes,no,,no,no,0.0,yes,furnished
77,6650000,6500.0,3.0,1.0,1.0,yes,no,,no,yes,0.0,yes,furnished
96,6300000,9000.0,3.0,1.0,1.0,yes,no,yes,no,no,1.0,yes,furnished
103,6195000,6350.0,1.0,1.0,3.0,yes,yes,,no,yes,0.0,no,furnished
111,6090000,6112.5,1.0,1.0,3.0,yes,no,no,no,yes,2.0,no,unfurnished
132,5810000,5875.0,1.0,1.0,3.0,yes,no,,no,yes,0.0,,semi-furnished
133,5810000,5637.5,1.0,1.0,3.0,yes,no,,no,yes,0.0,no,unfurnished
136,5740000,5400.0,4.0,2.0,1.0,yes,no,no,no,yes,2.0,no,unfurnished
143,5600000,4816.666666666667,5.0,2.0,3.0,no,no,yes,yes,no,0.0,,unfurnished
149,5600000,4233.333333333333,4.0,2.0,1.0,yes,no,yes,no,no,0.0,yes,semi-furnished
154,5530000,3650.0,3.0,2.0,1.0,yes,no,,no,no,0.0,no,semi-furnished
164,5390000,6710.0,1.0,2.0,1.0,yes,yes,yes,no,no,1.0,,furnished
166,5320000,7800.0,3.0,1.0,1.0,yes,no,,no,yes,2.0,yes,unfurnished
195,4970000,4410.0,4.0,3.0,1.0,yes,no,,no,no,2.0,,semi-furnished
203,4900000,5047.0,1.0,1.0,2.0,yes,no,,no,no,0.0,no,semi-furnished
205,4900000,5684.0,1.0,1.0,1.0,yes,no,no,no,yes,2.0,no,semi-furnished
223,4760000,6321.0,1.0,1.0,2.0,yes,no,yes,no,yes,0.0,,furnished
224,4760000,10240.0,1.0,1.0,1.0,yes,no,,no,yes,0.0,yes,unfurnished
236,4620000,2870.0,2.0,1.0,1.0,yes,yes,,no,no,0.0,,semi-furnished
246,4550000,3435.0,3.0,1.0,1.0,yes,no,,no,no,0.0,yes,semi-furnished
256,4480000,4000.0,3.0,1.0,1.0,yes,no,,no,no,2.0,no,furnished
273,4340000,3500.0,4.0,1.0,2.0,yes,no,no,no,no,0.0,,furnished
282,4270000,4675.0,1.0,1.0,2.0,no,yes,yes,no,yes,0.0,no,unfurnished
289,4200000,5850.0,2.0,1.0,1.0,yes,yes,yes,no,no,2.0,,semi-furnished
294,4200000,5126.666666666667,4.0,1.0,2.0,no,no,no,no,no,0.0,no,semi-furnished
299,4200000,4403.333333333333,3.0,1.0,1.0,yes,no,,no,no,3.0,no,furnished
313,4095000,3680.0,1.0,1.0,2.0,yes,no,no,no,no,0.0,no,semi-furnished
321,4025000,3820.0,1.0,2.0,1.0,yes,no,no,yes,no,2.0,,semi-furnished
329,3990000,3960.0,1.0,1.0,1.0,yes,no,no,no,no,0.0,no,furnished
349,3780000,4820.0,3.0,1.0,1.0,yes,no,no,no,no,0.0,,semi-furnished
358,3745000,4170.0,2.0,1.0,1.0,yes,no,no,no,no,0.0,yes,semi-furnished
374,3640000,3520.0,1.0,1.0,1.0,yes,no,,no,no,0.0,no,semi-furnished
380,3605000,4500.0,1.0,1.0,1.0,yes,no,,no,no,0.0,no,semi-furnished
381,3605000,4000.0,1.0,1.0,1.0,yes,no,no,no,no,0.0,,semi-furnished
385,3570000,4120.0,2.0,1.0,1.0,yes,no,no,no,no,0.0,no,unfurnished
387,3500000,4240.0,1.0,1.0,2.0,yes,no,no,no,yes,0.0,,semi-furnished
388,3500000,3187.5,1.0,1.0,1.0,yes,no,no,no,no,0.0,no,unfurnished
390,3500000,2135.0,3.0,1.0,1.0,no,no,,no,no,0.0,,unfurnished
401,3500000,9500.0,1.0,1.0,1.0,yes,no,,no,no,0.0,,unfurnished
406,3465000,5320.0,2.0,1.0,1.0,yes,no,,no,no,0.0,yes,unfurnished
410,3430000,4160.0,1.0,1.0,1.0,yes,no,no,no,no,0.0,no,unfurnished
457,3115000,3000.0,3.0,1.0,1.0,no,no,,no,yes,0.0,,unfurnished
458,3115000,3850.0,3.0,1.0,1.0,yes,no,no,no,no,0.0,,unfurnished
462,3080000,3545.0,3.0,1.0,2.0,no,no,yes,no,no,0.0,,semi-furnished
467,3010000,3240.0,3.0,1.0,1.0,yes,no,no,no,no,0.0,no,semi-furnished
479,2940000,3140.0,4.0,1.0,1.0,no,no,,no,no,0.0,no,unfurnished
484,2870000,3040.0,2.0,1.0,1.0,no,no,no,no,no,0.0,no,unfurnished
521,2408000,3635.0,2.0,1.0,1.0,no,no,no,no,no,0.0,no,unfurnished
524,2380000,3264.0,1.0,1.0,1.0,yes,no,no,no,no,0.0,,unfurnished
531,2233000,5300.0,3.0,1.0,1.0,no,no,no,no,yes,0.0,yes,unfurnished
543,1750000,5300.0,1.0,1.0,1.0,no,no,no,no,no,0.0,,furnished
